date,election,hilary,trump
09/11/2016 05:05:00,0.93,1.00,1.00
09/11/2016 05:05:00,0.47,1.00,1.00
09/11/2016 05:03:00,0.06,1.00,1.00
09/11/2016 04:59:00,0.11,1.00,1.00
09/11/2016 04:55:00,1.00,21.27,1.00
09/11/2016 04:56:00,1.00,21.27,1.00
09/11/2016 04:54:00,0.11,1.00,1.00
09/11/2016 04:53:00,0.04,1.00,1.00
09/11/2016 04:52:00,1.00,1.00,1.00
09/11/2016 04:51:00,1.89,1.00,1.00
09/11/2016 04:50:00,0.06,1.00,1.00
09/11/2016 04:49:00,2.32,1.00,1.00
09/11/2016 04:37:00,1.08,1.00,1.00
09/11/2016 04:37:00,2.32,1.00,1.00
09/11/2016 04:37:00,38.67,1.00,1.00
09/11/2016 04:33:00,1.00,0.64,1.00
09/11/2016 02:23:00,0.11,1.00,1.00
09/11/2016 02:06:00,1.00,0.11,1.00
09/11/2016 02:03:00,0.11,1.00,1.00
09/11/2016 01:53:00,1.00,0.11,1.00
09/11/2016 02:11:00,0.11,1.00,1.00
09/11/2016 02:15:00,0.11,1.00,1.00
09/11/2016 01:45:00,1.00,1.00,0.11
09/11/2016 01:36:00,0.06,1.00,1.00
09/11/2016 01:33:00,1.00,1.00,1.00
09/11/2016 01:25:00,0.11,1.00,1.00
09/11/2016 01:22:00,0.11,1.00,1.00
09/11/2016 01:18:00,0.11,1.00,1.00
09/11/2016 01:14:00,1.00,0.11,1.00
09/11/2016 01:01:00,0.03,1.00,1.00
09/11/2016 01:00:00,1.00,0.93,1.00
09/11/2016 00:59:00,1.00,38.67,1.00
09/11/2016 00:46:00,1.00,1.00,1.00
09/11/2016 00:46:00,0.93,1.00,1.00
09/11/2016 00:44:00,0.50,1.00,1.00
09/11/2016 00:44:00,1.00,19.72,1.00
09/11/2016 00:41:00,1.00,0.11,1.00
09/11/2016 00:38:00,1.00,0.93,1.00
09/11/2016 00:30:00,0.11,1.00,1.00
09/11/2016 00:26:00,0.11,1.00,1.00
09/11/2016 00:18:00,0.06,1.00,1.00
09/11/2016 00:18:00,21.27,1.00,1.00
09/11/2016 00:12:00,1.00,1.00,1.00
08/11/2016 23:45:00,0.11,1.00,1.00
08/11/2016 23:28:00,1.00,1.00,1.89
08/11/2016 17:10:00,0.11,1.00,1.00
08/11/2016 23:22:00,0.04,1.00,1.00
08/11/2016 17:09:00,0.11,1.00,1.00
08/11/2016 19:27:00,0.11,1.00,1.00
08/11/2016 19:18:00,1.00,1.00,1.89
08/11/2016 19:09:00,0.11,1.00,1.00
08/11/2016 18:54:00,0.11,1.00,1.00
08/11/2016 18:50:00,0.11,1.00,1.00
08/11/2016 18:50:00,0.11,1.00,1.00
08/11/2016 18:49:00,1.00,0.11,1.00
08/11/2016 18:49:00,1.00,0.11,1.00
08/11/2016 18:49:00,1.00,0.11,1.00
08/11/2016 18:39:00,1.00,0.11,1.00
08/11/2016 18:43:00,0.11,1.00,1.00
08/11/2016 18:40:00,0.11,1.00,1.00
08/11/2016 18:27:00,0.11,1.00,1.00
08/11/2016 18:20:00,1.00,0.11,1.00
08/11/2016 18:17:00,1.00,0.11,1.00
08/11/2016 18:07:00,1.00,0.93,1.00
08/11/2016 18:05:00,0.11,1.00,1.00
08/11/2016 17:58:00,1.82,1.00,1.00
08/11/2016 17:49:00,1.00,0.11,1.00
08/11/2016 17:46:00,0.11,1.00,1.00
08/11/2016 17:43:00,0.11,1.00,1.00
08/11/2016 17:34:00,0.11,1.00,1.00
08/11/2016 17:33:00,0.11,1.00,1.00
08/11/2016 17:32:00,0.11,1.00,1.00
08/11/2016 17:21:00,0.11,1.00,1.00
08/11/2016 17:20:00,1.00,0.11,1.00
08/11/2016 17:13:00,1.00,0.11,1.00
08/11/2016 17:11:00,1.00,0.93,1.00
08/11/2016 17:18:00,1.00,1.82,1.00
08/11/2016 17:17:00,1.00,0.93,1.00
08/11/2016 17:11:00,1.00,1.00,1.00
08/11/2016 17:11:00,1.00,0.11,1.00
08/11/2016 17:11:00,1.00,0.11,1.00
08/11/2016 17:11:00,1.00,0.11,1.00
08/11/2016 17:10:00,1.00,0.11,1.00
08/11/2016 17:11:00,1.00,0.11,1.00
08/11/2016 17:11:00,0.11,1.00,1.00
08/11/2016 17:11:00,0.11,1.00,1.00
08/11/2016 17:10:00,0.06,1.00,1.00
08/11/2016 17:10:00,0.11,1.00,1.00
08/11/2016 17:10:00,0.11,1.00,1.00
08/11/2016 17:10:00,1.00,0.93,1.00
08/11/2016 17:09:00,0.11,1.00,1.00
08/11/2016 17:09:00,0.11,1.00,1.00
08/11/2016 17:09:00,0.11,1.00,1.00
08/11/2016 17:09:00,0.93,1.00,1.00
08/11/2016 17:09:00,0.11,1.00,1.00
08/11/2016 17:08:00,0.11,1.00,1.00
08/11/2016 17:08:00,1.00,1.00,0.11
08/11/2016 17:08:00,0.53,1.00,1.00
08/11/2016 17:08:00,0.11,1.00,1.00
08/11/2016 17:08:00,0.11,1.00,1.00
08/11/2016 17:08:00,0.93,1.00,1.00
08/11/2016 17:08:00,1.00,1.00,1.00
08/11/2016 17:06:00,0.11,1.00,1.00
08/11/2016 17:06:00,0.11,1.00,1.00
08/11/2016 17:06:00,1.00,0.93,1.00
08/11/2016 17:06:00,1.00,0.93,1.00
08/11/2016 17:05:00,0.11,1.00,1.00
08/11/2016 17:05:00,0.11,1.00,1.00
08/11/2016 17:05:00,1.00,1.00,1.00
08/11/2016 17:05:00,0.11,1.00,1.00
08/11/2016 17:05:00,1.00,0.11,1.00
08/11/2016 17:05:00,0.51,1.00,1.00
08/11/2016 17:04:00,1.00,0.11,1.00
08/11/2016 17:04:00,0.11,1.00,1.00
08/11/2016 17:08:00,0.11,1.00,1.00
08/11/2016 17:07:00,0.11,1.00,1.00
08/11/2016 17:07:00,0.93,1.00,1.00
08/11/2016 17:07:00,0.11,1.00,1.00
08/11/2016 17:07:00,0.11,1.00,1.00
08/11/2016 17:04:00,0.11,1.00,1.00
08/11/2016 17:04:00,0.11,1.00,1.00
08/11/2016 17:03:00,0.11,1.00,1.00
08/11/2016 17:03:00,0.93,1.00,1.00
08/11/2016 17:03:00,0.11,1.00,1.00
08/11/2016 17:03:00,1.00,0.11,1.00
08/11/2016 17:03:00,0.93,1.00,1.00
08/11/2016 17:03:00,0.11,1.00,1.00
08/11/2016 17:03:00,0.11,1.00,1.00
08/11/2016 23:12:00,0.06,1.00,1.00
08/11/2016 23:07:00,1.00,1.00,1.00
08/11/2016 22:48:00,1.00,1.00,1.00
08/11/2016 22:35:00,0.11,1.00,1.00
08/11/2016 22:33:00,0.93,1.00,1.00
08/11/2016 22:16:00,0.11,1.00,1.00
08/11/2016 22:12:00,0.11,1.00,1.00
08/11/2016 21:44:00,0.04,1.00,1.00
08/11/2016 21:32:00,0.11,1.00,1.00
08/11/2016 21:12:00,0.11,1.00,1.00
08/11/2016 21:11:00,0.11,1.00,1.00
08/11/2016 21:04:00,0.11,1.00,1.00
08/11/2016 20:50:00,0.06,1.00,1.00
08/11/2016 20:49:00,0.11,1.00,1.00
08/11/2016 20:49:00,0.11,1.00,1.00
08/11/2016 20:48:00,0.93,1.00,1.00
08/11/2016 20:40:00,0.11,1.00,1.00
08/11/2016 20:30:00,0.11,1.00,1.00
08/11/2016 20:26:00,0.11,1.00,1.00
08/11/2016 20:16:00,0.11,1.00,1.00
08/11/2016 20:01:00,0.11,1.00,1.00
08/11/2016 20:00:00,1.00,1.00,1.00
08/11/2016 19:56:00,0.11,1.00,1.00
08/11/2016 19:55:00,0.11,1.00,1.00
08/11/2016 19:50:00,0.11,1.00,1.00
08/11/2016 19:49:00,0.11,1.00,1.00
08/11/2016 19:43:00,0.11,1.00,1.00
08/11/2016 19:41:00,0.11,1.00,1.00
08/11/2016 19:34:00,0.11,1.00,1.00
08/11/2016 19:31:00,0.11,1.00,1.00
08/11/2016 17:03:00,0.11,1.00,1.00
08/11/2016 17:02:00,0.93,1.00,1.00
08/11/2016 17:02:00,0.11,1.00,1.00
08/11/2016 17:02:00,0.11,1.00,1.00
08/11/2016 17:02:00,0.04,1.00,1.00
08/11/2016 17:02:00,1.89,1.00,1.00
08/11/2016 17:02:00,0.11,1.00,1.00
08/11/2016 17:01:00,0.11,1.00,1.00
08/11/2016 17:01:00,0.06,1.00,1.00
08/11/2016 17:01:00,0.93,1.00,1.00
08/11/2016 17:01:00,0.93,1.00,1.00
08/11/2016 17:01:00,0.93,1.00,1.00
08/11/2016 17:01:00,1.82,1.00,1.00
08/11/2016 17:01:00,0.11,1.00,1.00
08/11/2016 17:01:00,1.00,0.11,1.00
08/11/2016 17:01:00,1.39,1.00,1.00
08/11/2016 17:01:00,1.00,0.06,1.00
08/11/2016 17:00:00,1.00,1.00,1.00
08/11/2016 17:00:00,0.11,1.00,1.00
08/11/2016 17:00:00,0.11,1.00,1.00
08/11/2016 17:00:00,0.47,1.00,1.00
08/11/2016 17:00:00,0.11,1.00,1.00
08/11/2016 17:00:00,0.11,1.00,1.00
08/11/2016 17:00:00,0.97,1.00,1.00
08/11/2016 17:00:00,0.11,1.00,1.00
08/11/2016 17:00:00,0.11,1.00,1.00
08/11/2016 17:00:00,1.00,1.00,0.93
08/11/2016 16:59:00,0.11,1.00,1.00
08/11/2016 16:59:00,0.11,1.00,1.00
08/11/2016 16:59:00,0.11,1.00,1.00
08/11/2016 17:09:00,1.00,0.11,1.00
08/11/2016 17:04:00,1.00,1.00,1.00
08/11/2016 17:00:00,0.11,1.00,1.00
08/11/2016 16:59:00,1.00,1.00,1.00
08/11/2016 16:59:00,1.00,19.72,1.00
08/11/2016 16:59:00,2.32,1.00,1.00
08/11/2016 16:59:00,21.27,1.00,1.00
08/11/2016 16:59:00,1.00,37.12,1.00
08/11/2016 16:58:00,0.11,1.00,1.00
08/11/2016 16:58:00,0.11,1.00,1.00
08/11/2016 16:58:00,0.11,1.00,1.00
08/11/2016 16:58:00,0.11,1.00,1.00
08/11/2016 16:57:00,1.00,19.72,1.00
08/11/2016 16:57:00,1.00,2.32,1.00
08/11/2016 16:57:00,1.00,2.32,1.00
08/11/2016 16:57:00,0.11,1.00,1.00
08/11/2016 16:57:00,0.11,1.00,1.00
08/11/2016 16:56:00,0.11,1.00,1.00
08/11/2016 16:56:00,0.04,1.00,1.00
08/11/2016 16:56:00,0.11,1.00,1.00
08/11/2016 16:56:00,0.11,1.00,1.00
08/11/2016 16:56:00,2.32,1.00,1.00
08/11/2016 16:55:00,0.11,1.00,1.00
08/11/2016 16:55:00,1.00,0.11,1.00
08/11/2016 16:55:00,0.11,1.00,1.00
08/11/2016 16:55:00,1.00,1.00,1.00
08/11/2016 16:55:00,0.11,1.00,1.00
08/11/2016 16:55:00,1.00,1.00,1.00
08/11/2016 16:55:00,0.11,1.00,1.00
08/11/2016 16:55:00,0.11,1.00,1.00
08/11/2016 16:55:00,0.11,1.00,1.00
08/11/2016 16:55:00,0.11,1.00,1.00
08/11/2016 16:55:00,0.93,1.00,1.00
08/11/2016 16:55:00,1.00,0.11,1.00
08/11/2016 16:55:00,0.11,1.00,1.00
08/11/2016 16:54:00,1.00,0.11,1.00
08/11/2016 16:54:00,0.11,1.00,1.00
08/11/2016 16:55:00,0.11,1.00,1.00
08/11/2016 16:54:00,0.11,1.00,1.00
08/11/2016 16:54:00,0.93,1.00,1.00
08/11/2016 16:54:00,38.67,1.00,1.00
08/11/2016 16:54:00,1.00,19.72,1.00
08/11/2016 16:54:00,1.00,0.11,1.00
08/11/2016 16:54:00,1.00,0.11,1.00
08/11/2016 16:53:00,1.00,38.67,1.00
08/11/2016 16:53:00,1.00,1.82,1.00
08/11/2016 16:53:00,1.00,2.32,1.00
08/11/2016 16:52:00,1.00,2.32,1.00
08/11/2016 16:52:00,1.00,0.11,1.00
08/11/2016 16:52:00,1.00,1.00,1.00
08/11/2016 16:52:00,1.00,0.11,1.00
08/11/2016 16:52:00,0.11,1.00,1.00
08/11/2016 16:52:00,0.11,1.00,1.00
08/11/2016 16:52:00,1.00,0.11,1.00
08/11/2016 16:51:00,1.00,0.11,1.00
08/11/2016 16:51:00,1.00,0.11,1.00
08/11/2016 16:50:00,1.00,0.11,1.00
08/11/2016 16:50:00,1.00,0.11,1.00
08/11/2016 16:50:00,1.00,0.11,1.00
08/11/2016 16:50:00,1.00,0.11,1.00
08/11/2016 16:50:00,1.00,0.11,1.00
08/11/2016 16:50:00,1.00,0.11,1.00
08/11/2016 16:50:00,1.00,0.93,1.00
08/11/2016 16:50:00,1.00,0.93,1.00
08/11/2016 16:49:00,1.00,0.11,1.00
08/11/2016 16:50:00,1.00,54.52,1.00
08/11/2016 16:49:00,0.06,1.00,1.00
08/11/2016 16:49:00,1.00,1.00,0.11
08/11/2016 16:49:00,0.11,1.00,1.00
08/11/2016 16:46:00,1.00,0.11,1.00
08/11/2016 16:46:00,1.00,1.00,1.00
08/11/2016 16:49:00,1.00,1.00,1.00
08/11/2016 16:48:00,0.93,1.00,1.00
08/11/2016 16:49:00,0.93,1.00,1.00
08/11/2016 16:48:00,0.11,1.00,1.00
08/11/2016 16:48:00,0.93,1.00,1.00
08/11/2016 16:47:00,0.11,1.00,1.00
08/11/2016 16:47:00,0.11,1.00,1.00
08/11/2016 16:47:00,0.11,1.00,1.00
08/11/2016 16:47:00,1.00,0.11,1.00
08/11/2016 16:47:00,1.00,0.11,1.00
08/11/2016 16:47:00,0.11,1.00,1.00
08/11/2016 16:47:00,0.11,1.00,1.00
08/11/2016 16:46:00,0.93,1.00,1.00
08/11/2016 16:46:00,0.11,1.00,1.00
08/11/2016 16:49:00,0.11,1.00,1.00
08/11/2016 16:46:00,0.11,1.00,1.00
08/11/2016 16:46:00,2.32,1.00,1.00
08/11/2016 16:46:00,1.00,1.00,0.11
08/11/2016 16:46:00,1.00,0.11,1.00
08/11/2016 16:46:00,0.11,1.00,1.00
08/11/2016 16:45:00,0.11,1.00,1.00
08/11/2016 16:45:00,0.11,1.00,1.00
08/11/2016 16:45:00,0.93,1.00,1.00
08/11/2016 16:45:00,0.93,1.00,1.00
08/11/2016 16:45:00,0.11,1.00,1.00
08/11/2016 16:44:00,1.00,1.00,1.00
08/11/2016 16:45:00,0.11,1.00,1.00
08/11/2016 16:45:00,0.11,1.00,1.00
08/11/2016 16:45:00,1.00,1.00,1.00
08/11/2016 16:44:00,1.00,0.11,1.00
08/11/2016 16:44:00,0.11,1.00,1.00
08/11/2016 16:44:00,0.11,1.00,1.00
08/11/2016 16:44:00,0.11,1.00,1.00
08/11/2016 16:43:00,0.11,1.00,1.00
08/11/2016 16:49:00,0.11,1.00,1.00
08/11/2016 16:43:00,0.11,1.00,1.00
08/11/2016 16:43:00,0.11,1.00,1.00
08/11/2016 16:43:00,0.11,1.00,1.00
08/11/2016 16:42:00,0.11,1.00,1.00
08/11/2016 16:42:00,1.00,0.11,1.00
08/11/2016 16:42:00,0.06,1.00,1.00
08/11/2016 16:42:00,1.00,1.00,1.00
08/11/2016 16:42:00,1.00,56.07,1.00
08/11/2016 16:41:00,0.11,1.00,1.00
08/11/2016 16:41:00,2.32,1.00,1.00
08/11/2016 16:40:00,0.11,1.00,1.00
08/11/2016 16:41:00,1.74,1.00,1.00
08/11/2016 16:40:00,0.11,1.00,1.00
08/11/2016 16:40:00,1.00,1.00,1.89
08/11/2016 16:40:00,0.06,1.00,1.00
08/11/2016 16:39:00,0.11,1.00,1.00
08/11/2016 16:39:00,1.00,19.72,1.00
08/11/2016 16:38:00,0.11,1.00,1.00
08/11/2016 16:38:00,1.00,1.00,2.32
08/11/2016 16:38:00,0.11,1.00,1.00
08/11/2016 16:38:00,1.00,0.93,1.00
08/11/2016 16:38:00,1.00,0.04,1.00
08/11/2016 16:38:00,0.11,1.00,1.00
08/11/2016 16:38:00,0.11,1.00,1.00
08/11/2016 16:38:00,0.11,1.00,1.00
08/11/2016 16:37:00,1.00,1.00,0.51
08/11/2016 16:37:00,0.06,1.00,1.00
08/11/2016 16:37:00,1.00,0.06,1.00
08/11/2016 16:37:00,0.11,1.00,1.00
08/11/2016 16:37:00,0.51,1.00,1.00
08/11/2016 16:36:00,1.00,19.72,1.00
08/11/2016 16:36:00,2.32,1.00,1.00
08/11/2016 16:36:00,0.11,1.00,1.00
08/11/2016 16:36:00,0.11,1.00,1.00
08/11/2016 16:36:00,0.11,1.00,1.00
08/11/2016 16:36:00,1.00,19.72,1.00
08/11/2016 16:36:00,0.11,1.00,1.00
08/11/2016 16:35:00,1.00,1.00,1.00
08/11/2016 16:35:00,0.11,1.00,1.00
08/11/2016 16:35:00,1.00,0.93,1.00
08/11/2016 16:34:00,21.27,1.00,1.00
08/11/2016 16:34:00,2.32,1.00,1.00
08/11/2016 16:34:00,1.00,0.11,1.00
08/11/2016 16:34:00,1.00,0.11,1.00
08/11/2016 16:34:00,1.00,0.11,1.00
08/11/2016 16:33:00,1.00,0.06,1.00
08/11/2016 16:33:00,1.00,38.67,1.00
08/11/2016 16:33:00,2.32,1.00,1.00
08/11/2016 16:33:00,1.00,0.11,1.00
08/11/2016 16:33:00,0.11,1.00,1.00
08/11/2016 16:33:00,0.11,1.00,1.00
08/11/2016 16:33:00,1.00,0.11,1.00
08/11/2016 16:33:00,0.93,1.00,1.00
08/11/2016 16:33:00,0.11,1.00,1.00
08/11/2016 16:33:00,0.11,1.00,1.00
08/11/2016 16:33:00,1.00,1.00,1.00
08/11/2016 16:33:00,0.11,1.00,1.00
08/11/2016 16:33:00,0.11,1.00,1.00
08/11/2016 16:32:00,0.11,1.00,1.00
08/11/2016 16:32:00,1.00,37.12,1.00
08/11/2016 16:32:00,0.11,1.00,1.00
08/11/2016 16:32:00,1.00,0.93,1.00
08/11/2016 16:32:00,19.72,1.00,1.00
08/11/2016 16:32:00,0.11,1.00,1.00
08/11/2016 16:31:00,1.00,1.00,1.00
08/11/2016 16:31:00,0.11,1.00,1.00
08/11/2016 16:31:00,0.11,1.00,1.00
08/11/2016 16:31:00,1.00,0.11,1.00
08/11/2016 16:31:00,0.06,1.00,1.00
08/11/2016 16:31:00,19.72,1.00,1.00
08/11/2016 16:31:00,0.11,1.00,1.00
08/11/2016 16:31:00,0.93,1.00,1.00
08/11/2016 16:30:00,0.93,1.00,1.00
08/11/2016 16:30:00,1.00,1.00,1.00
08/11/2016 16:30:00,1.00,1.00,0.93
08/11/2016 16:30:00,0.06,1.00,1.00
08/11/2016 16:30:00,0.11,1.00,1.00
08/11/2016 16:30:00,0.11,1.00,1.00
08/11/2016 16:29:00,0.47,1.00,1.00
08/11/2016 16:29:00,1.00,1.00,1.00
08/11/2016 16:29:00,0.11,1.00,1.00
08/11/2016 16:29:00,1.00,0.11,1.00
08/11/2016 16:29:00,0.06,1.00,1.00
08/11/2016 16:29:00,0.93,1.00,1.00
08/11/2016 16:28:00,0.11,1.00,1.00
08/11/2016 16:28:00,1.00,0.11,1.00
08/11/2016 16:28:00,0.11,1.00,1.00
08/11/2016 16:28:00,1.00,19.72,1.00
08/11/2016 16:28:00,0.11,1.00,1.00
08/11/2016 16:28:00,0.11,1.00,1.00
08/11/2016 16:27:00,1.00,1.00,1.00
08/11/2016 16:27:00,0.11,1.00,1.00
08/11/2016 16:27:00,0.11,1.00,1.00
08/11/2016 16:27:00,0.11,1.00,1.00
08/11/2016 16:27:00,0.11,1.00,1.00
08/11/2016 16:27:00,0.11,1.00,1.00
08/11/2016 16:26:00,1.74,1.00,1.00
08/11/2016 16:26:00,0.11,1.00,1.00
08/11/2016 16:28:00,0.11,1.00,1.00
08/11/2016 16:28:00,0.11,1.00,1.00
08/11/2016 16:28:00,0.11,1.00,1.00
08/11/2016 16:28:00,0.11,1.00,1.00
08/11/2016 16:28:00,0.11,1.00,1.00
08/11/2016 16:28:00,0.11,1.00,1.00
08/11/2016 16:26:00,0.11,1.00,1.00
08/11/2016 16:26:00,0.11,1.00,1.00
08/11/2016 16:25:00,2.32,1.00,1.00
08/11/2016 16:25:00,0.11,1.00,1.00
08/11/2016 16:25:00,0.11,1.00,1.00
08/11/2016 16:25:00,0.93,1.00,1.00
08/11/2016 16:25:00,1.00,1.00,1.00
08/11/2016 16:24:00,1.00,1.00,1.00
08/11/2016 16:24:00,0.11,1.00,1.00
08/11/2016 16:24:00,0.11,1.00,1.00
08/11/2016 16:24:00,0.11,1.00,1.00
08/11/2016 16:24:00,0.47,1.00,1.00
08/11/2016 16:23:00,0.11,1.00,1.00
08/11/2016 16:23:00,1.00,1.74,1.00
08/11/2016 16:23:00,0.93,1.00,1.00
08/11/2016 16:23:00,1.82,1.00,1.00
08/11/2016 16:23:00,1.74,1.00,1.00
08/11/2016 16:23:00,0.06,1.00,1.00
08/11/2016 16:22:00,0.47,1.00,1.00
08/11/2016 16:22:00,1.00,0.11,1.00
08/11/2016 16:22:00,0.11,1.00,1.00
08/11/2016 16:22:00,1.00,0.11,1.00
08/11/2016 16:22:00,1.00,0.11,1.00
08/11/2016 16:22:00,2.32,1.00,1.00
08/11/2016 16:22:00,1.00,1.00,1.00
08/11/2016 16:21:00,1.89,1.00,1.00
08/11/2016 16:21:00,0.93,1.00,1.00
08/11/2016 16:21:00,0.11,1.00,1.00
08/11/2016 16:21:00,1.00,1.00,1.00
08/11/2016 16:21:00,0.11,1.00,1.00
08/11/2016 16:21:00,1.00,1.00,1.00
